CustomerID,Name,Gender,Age,MaritalStatus,EmploymentStatus,AnnualIncome,CreditScore,City,State,ZipCode,JoinDate,PreferredContactMethod,CustomerSegment,RiskScore
CUS000016,Kevin Finley,M,61,Single,Employed,43000.0,771,Roachland,Arkansas,59667,2023-05-16,Phone,Standard,97.21
CUS000017,Katherine Hayes,F,56,Married,Employed,194000.0,380,Paulbury,Arizona,61945,2021-06-05,Email,Basic,41.69
CUS000018,Sherry Mcclure,F,18,Single,Employed,32000.0,715,Ballardborough,Maryland,80350,2022-12-07,Phone,Premium,37.6
CUS000019,Edward Johnson,F,41,Married,Student,44000.0,810,East Amanda,West Virginia,47535,2022-08-28,Email,Basic,32.76
CUS000020,Heidi Ramos,M,20,Married,Self-Employed,40000.0,702,Vasquezbury,Iowa,21023,2021-10-04,Phone,Basic,35.52
CUS000021,Ronald Wilson,M,50,Married,Employed,35000.0,772,Evelynstad,Georgia,62720,2021-12-24,Email,Standard,69.88
CUS000022,Leonard Brown,F,77,Single,Student,43000.0,553,Miamouth,California,03757,2024-11-14,Mail,Basic,63.68
CUS000023,Anita Berg,M,36,Married,Retired,51000.0,451,New Johntown,Nevada,70157,2021-02-04,Email,Basic,85.24
CUS000024,Stephen Jackson,F,55,Married,Employed,167000.0,411,South Rubenburgh,Alabama,52005,2022-04-19,Email,Standard,1.5
CUS000025,Jennifer Johnson,F,83,Married,Self-Employed,39000.0,460,Taraport,California,15421,2021-01-28,Email,Standard,18.7
CUS000026,Jordan Salas,F,24,Married,Employed,53000.0,759,Lake Ashleyville,North Carolina,74442,2020-02-02,Phone,Standard,25.8
CUS000027,Teresa Avila,F,68,Divorced,Self-Employed,75000.0,525,Mccoyberg,New Mexico,19139,2021-11-13,Email,Standard,67.22
CUS000028,Katelyn Rodriguez,F,78,Married,Employed,130000.0,491,Chavezhaven,Oklahoma,21780,2022-02-19,Phone,Premium,94.11
CUS000029,James Hinton,M,23,Married,Employed,184000.0,579,Matthewville,Pennsylvania,47552,2024-05-11,Email,Standard,57.66
CUS000030,Kimberly Hogan,F,80,Married,Employed,226000.0,460,Lake Williamberg,Alaska,48837,2023-08-22,Email,Premium,56.12
CUS000031,William Graves,F,84,Married,Employed,168000.0,587,East Miguelborough,California,98783,2020-02-04,Phone,Standard,26.16
CUS000032,Stephen French,F,34,Divorced,Employed,47000.0,545,West Georgeside,Utah,92363,2020-10-01,Email,Standard,81.13
CUS000033,Natalie Taylor,M,41,Divorced,Employed,113000.0,335,Newmanview,Pennsylvania,58455,2023-01-07,Phone,Standard,70.49
CUS000034,Stephanie Carney,F,32,Married,Employed,109000.0,350,Port Henry,Montana,78150,2024-02-16,Email,Standard,29.37
CUS000035,Thomas Davis MD,F,66,Single,Unemployed,75000.0,353,Port Ana,New Jersey,07982,2024-05-09,Phone,Standard,82.96
CUS000036,Jade Fowler,F,22,Married,Unemployed,46000.0,649,East Vanessa,Kentucky,14491,2023-01-04,Phone,Standard,72.88
CUS000037,Sarah Johnson,F,47,Single,Employed,216000.0,357,Bestberg,Delaware,61889,2022-10-28,Email,Premium,96.3
CUS000038,Ryan Esparza,M,29,Married,Employed,120000.0,812,Port Sergio,South Dakota,66433,2020-09-18,Email,Standard,10.29
CUS000039,Ryan Jackson,M,18,Widowed,Self-Employed,40000.0,746,Hamiltonmouth,New Mexico,45216,2021-11-28,Email,Basic,5.72
CUS000040,Cindy Young,M,74,Married,Employed,72000.0,346,West Bradleyhaven,Iowa,76828,2021-02-11,Email,Basic,70.66
CUS000041,Christopher Garcia,F,65,Divorced,Employed,62000.0,553,Sweeneyport,Rhode Island,16256,2021-05-01,Email,Standard,61.97
CUS000042,Keith Williams,F,69,Married,Self-Employed,80000.0,741,Sanchezville,New York,26137,2021-03-25,Phone,Standard,68.71
CUS000043,Carl Allen,F,19,Single,Employed,78000.0,774,Patelborough,California,29902,2021-06-04,Mail,Standard,57.76
CUS000044,Billy Hall,M,68,Divorced,Self-Employed,37000.0,716,Port Zacharyview,Arizona,35329,2024-03-16,Phone,Standard,28.12
CUS000045,Andrew Yu,F,19,Single,Self-Employed,42000.0,389,Millsmouth,Washington,51422,2022-05-23,Email,Basic,3.3
CUS000046,George Garcia,M,24,Single,Self-Employed,114000.0,792,West Valerie,Colorado,24065,2021-03-30,Mail,Premium,42.38
CUS000047,Victor Obrien,F,27,Married,Employed,201000.0,398,Port Brett,New Hampshire,55867,2020-04-19,Email,Standard,77.86
CUS000048,Casey Johnson DDS,F,54,Single,Self-Employed,51000.0,578,Joelburgh,Oregon,98797,2020-03-20,Phone,Premium,90.35
CUS000049,Kendra Velazquez,F,30,Divorced,Employed,65000.0,695,New John,Kentucky,03884,2021-02-06,Mail,Basic,36.14
CUS000050,Marc Johnson,M,69,Married,Self-Employed,187000.0,368,North Jacob,Wyoming,06264,2020-09-02,Email,Standard,67.58
CUS000051,Jennifer Bray,M,33,Married,Employed,100000.0,341,Patriciamouth,Massachusetts,04452,2021-01-04,Mail,Basic,6.53
CUS000052,Mark Case,M,35,Widowed,Self-Employed,97000.0,791,Lake Christopherport,Florida,51540,2024-09-05,Mail,Basic,43.18
CUS000053,Diana York,M,67,Divorced,Employed,43000.0,328,South Nicholas,Maine,41258,2020-07-09,Email,Basic,38.05
CUS000054,Ruben Hooper,F,34,Divorced,Student,53000.0,431,North Lindsey,Arizona,49777,2024-03-15,Email,Basic,48.69
CUS000055,Stephen Mack,M,36,Single,Employed,54000.0,519,Frostchester,Montana,47952,2022-06-19,Phone,Basic,76.95
CUS000056,Molly Love,M,18,Married,Employed,117000.0,804,Lake Danielleton,Tennessee,08062,2020-04-08,Email,Standard,86.99
CUS000057,Christopher Baker,F,75,Single,Student,43000.0,448,East Petermouth,Connecticut,98601,2023-11-15,Email,Basic,91.99
CUS000058,Jessica Barnes,M,37,Single,Employed,45000.0,604,North Mirandastad,Utah,42416,2020-09-26,Phone,Standard,63.13
CUS000059,Diana Humphrey,F,74,Divorced,Student,74000.0,657,Hintonhaven,Rhode Island,11771,2020-12-14,Email,Standard,28.46
CUS000060,Doris Garza,F,25,Married,Employed,40000.0,340,Tonibury,Colorado,22657,2023-12-02,Email,Standard,4.2
CUS000061,Diane Manning,M,46,Single,Employed,46000.0,689,Port Marcia,Maryland,62167,2021-02-14,Mail,Basic,61.73
CUS000062,Jodi Castro,F,47,Divorced,Employed,57000.0,418,New Sheila,North Dakota,98737,2022-12-11,Email,Basic,48.56
CUS000063,Dave Smith,M,43,Married,Student,241000.0,760,Lake Michaelbury,Connecticut,21172,2022-12-21,Email,Premium,14.25
CUS000064,Derek Bentley,M,23,Married,Employed,31000.0,736,Port Jennifer,New Jersey,62869,2022-01-16,Phone,Basic,75.95
CUS000065,Rachel Pratt,M,18,Widowed,Self-Employed,54000.0,745,Lake Nathanielport,Virginia,95789,2020-05-08,Mail,Basic,5.64
CUS000066,Mark Wallace,M,43,Married,Employed,46000.0,605,Jimeneztown,Georgia,27651,2024-09-04,Mail,Standard,56.53
CUS000067,Terry Nichols,M,34,Single,Employed,135000.0,506,Jamieside,Massachusetts,05001,2024-08-11,Phone,Standard,80.7
CUS000068,Daniel Rowe,F,55,Married,Self-Employed,147000.0,634,Port Davidmouth,Mississippi,74751,2022-09-07,Email,Basic,35.48
CUS000069,Jason May,F,47,Married,Retired,66000.0,432,Ashleyberg,Alaska,41272,2021-06-23,Phone,Standard,84.37
CUS000070,David Chen,F,51,Married,Employed,103000.0,425,Phillipsport,Alabama,02289,2021-02-03,Phone,Standard,8.51
CUS000071,Cynthia Johnson,M,33,Married,Employed,37000.0,580,Port Rachelmouth,Kansas,07481,2022-02-10,Mail,Standard,67.09
CUS000072,Gregory Smith,F,68,Single,Employed,39000.0,833,New Jordan,West Virginia,35116,2022-12-07,Email,Premium,46.62
CUS000073,Ryan Mclaughlin,F,66,Married,Self-Employed,42000.0,372,East Andre,Nebraska,64185,2021-07-13,Email,Standard,69.09
CUS000074,Kevin Burns,M,80,Married,Employed,66000.0,556,West Rachelhaven,Alaska,94963,2020-07-15,Email,Standard,98.64
CUS000075,Jeffrey Bennett,F,31,Married,Employed,68000.0,515,East Molly,New Hampshire,25803,2024-11-30,Phone,Premium,15.63
CUS000076,Julie Brown PhD,M,40,Married,Employed,37000.0,573,Port Brittany,Indiana,66649,2020-04-09,Email,Standard,25.0
CUS000077,Michael Mueller,M,45,Single,Employed,46000.0,530,West Jenniferton,Wisconsin,47779,2022-10-01,Email,Standard,24.09
CUS000078,Susan Hernandez,M,27,Married,Employed,51000.0,410,Davidsonview,Virginia,24111,2020-08-28,Phone,Basic,56.22
CUS000079,Juan Cochran,F,59,Single,Employed,74000.0,581,Matafurt,Connecticut,62866,2022-07-01,Phone,Standard,50.33
CUS000080,Ruben Sparks,M,50,Single,Employed,50000.0,802,South Shelbyberg,Texas,84756,2024-05-02,Email,Basic,9.7
CUS000081,Joseph Owens,F,72,Divorced,Employed,112000.0,842,East Christopherbury,Connecticut,01107,2022-05-20,Email,Basic,12.09
CUS000082,Lance Martin,F,21,Single,Student,55000.0,803,South Jesusside,Georgia,53454,2024-10-25,Phone,Basic,72.13
CUS000083,Ruth Norman,F,68,Divorced,Employed,68000.0,709,Gutierrezstad,Montana,40291,2022-11-05,Email,Standard,51.25
CUS000084,Alyssa Sullivan,M,18,Married,Employed,44000.0,438,Jeremyshire,Kansas,69662,2024-05-15,Mail,Standard,59.79
CUS000085,Andrea Jones,F,27,Married,Employed,53000.0,312,Hunterfort,Hawaii,54573,2021-05-31,Phone,Premium,14.74
CUS000086,Jason Mitchell,M,32,Married,Employed,30000.0,394,South Andrea,Arizona,51089,2022-04-20,Mail,Basic,96.54
CUS000087,Mr. Christopher Roman Jr.,F,26,Single,Employed,37000.0,812,Mcgeeshire,South Carolina,90049,2020-11-11,Phone,Standard,84.34
CUS000088,Brad Harrison,M,31,Married,Unemployed,38000.0,464,Perryshire,Wisconsin,16120,2023-06-11,Mail,Standard,52.78
CUS000089,Kelly White,M,59,Married,Unemployed,52000.0,594,Paceport,Vermont,17733,2021-06-07,Phone,Basic,62.79
CUS000090,Kelly Stein,M,32,Married,Employed,69000.0,802,Stephanieburgh,Rhode Island,26759,2023-10-06,Phone,Premium,23.67
CUS000091,Valerie Terry,F,23,Married,Self-Employed,69000.0,747,Jesusside,Maine,62928,2020-06-17,Email,Basic,50.05
CUS000092,Maria Boyd,M,53,Widowed,Unemployed,98000.0,710,Donnahaven,Hawaii,28357,2023-04-20,Phone,Premium,57.42
CUS000093,Jeffrey Green,M,55,Married,Employed,102000.0,515,Ashleyshire,Vermont,23348,2024-02-02,Phone,Standard,54.45
CUS000094,Melissa Green,F,62,Married,Self-Employed,63000.0,591,Lake Laurie,New Hampshire,29915,2020-12-07,Phone,Standard,82.85
CUS000095,Stephen Williams,F,55,Single,Employed,190000.0,645,Lauramouth,Kentucky,66445,2020-02-08,Mail,Premium,59.04
CUS000096,Dr. Christine Sullivan PhD,M,77,Married,Employed,65000.0,623,Port Tina,Indiana,05148,2021-05-15,Phone,Premium,65.49
CUS000097,Ashley Flores,M,26,Married,Self-Employed,104000.0,595,Marytown,Ohio,43882,2023-03-16,Mail,Basic,13.16
CUS000098,Peter Palmer,F,53,Single,Retired,43000.0,670,Elizabethbury,Louisiana,42336,2022-10-18,Phone,Standard,6.42
CUS000099,Daniel Macias,F,74,Single,Employed,50000.0,543,West Justinchester,South Carolina,83009,2022-02-11,Phone,Basic,35.29
CUS000100,Jesse Taylor,F,34,Married,Employed,51000.0,478,East Rebekah,Illinois,47814,2023-11-28,Email,Standard,17.39
CUS000101,Ian Carey,M,66,Married,Employed,32000.0,455,Alvarezshire,Arizona,87132,2021-12-13,Email,Standard,97.58
CUS000102,Christopher Clements,F,80,Widowed,Employed,61000.0,440,Annaberg,New Mexico,32400,2023-04-25,Email,Standard,80.18
CUS000103,Shelby Bradley,F,46,Married,Employed,51000.0,443,Lake Jenna,Vermont,07036,2025-01-02,Phone,Premium,77.78
CUS000104,Maria Black,F,55,Married,Employed,60000.0,563,Sarahview,Nebraska,17033,2024-11-21,Mail,Basic,37.96
CUS000105,Cynthia Kennedy,F,51,Married,Employed,46000.0,775,West Michael,Connecticut,40006,2020-12-16,Mail,Basic,41.39
CUS000106,Paul Bishop,M,76,Married,Employed,70000.0,538,Alexandrachester,Washington,38046,2022-08-16,Phone,Basic,56.12
CUS000107,Amber Cortez,M,49,Divorced,Unemployed,94000.0,751,Lake Jonathanside,Tennessee,39848,2023-12-03,Mail,Premium,41.23
CUS000108,Wendy Mcconnell,F,24,Married,Self-Employed,50000.0,384,Thomasbury,Mississippi,21910,2020-10-17,Email,Premium,58.72
CUS000109,Joseph Carrillo,F,18,Divorced,Employed,57000.0,685,North Robert,Vermont,57474,2023-11-10,Email,Premium,83.23
CUS000110,William Carter,F,26,Married,Employed,51000.0,799,Port Brandon,South Dakota,95147,2020-07-18,Mail,Basic,12.31
CUS000111,Charles Cook,M,31,Married,Self-Employed,72000.0,580,Odomberg,Mississippi,45254,2020-02-05,Email,Premium,83.66
CUS000112,Briana Chaney,F,46,Single,Employed,238000.0,374,New Reneebury,New Mexico,69568,2023-12-10,Mail,Standard,81.69
CUS000113,Christina Lee,F,34,Married,Employed,64000.0,641,Davidland,Utah,61024,2023-05-22,Email,Basic,87.52
CUS000114,Kristin Alvarez,F,70,Single,Retired,75000.0,775,Edwardsberg,Washington,81106,2020-12-13,Phone,Standard,36.03
CUS000115,Colleen Brown,M,68,Single,Unemployed,189000.0,328,East Jessicaview,Delaware,30595,2021-04-27,Email,Standard,36.21
CUS000116,William Kelly,M,71,Married,Self-Employed,93000.0,705,Lake Richardberg,Louisiana,95469,2024-05-06,Phone,Standard,4.09
CUS000117,Kimberly Hill,M,79,Widowed,Employed,45000.0,500,Reeveshaven,Alaska,36404,2020-12-03,Phone,Premium,8.44
CUS000118,Jonathan Hayes,M,78,Married,Employed,95000.0,338,Cynthiamouth,California,69972,2021-08-27,Email,Premium,1.23
CUS000119,Robert Walker,F,29,Married,Employed,202000.0,316,Michaelfort,Georgia,35177,2021-11-15,Mail,Standard,19.33
CUS000120,Tanner Russo,F,25,Married,Unemployed,69000.0,784,Woodfort,Mississippi,48671,2024-02-29,Phone,Basic,25.72
CUS000121,Danielle Beck,M,76,Widowed,Retired,64000.0,346,Hudsonberg,Alaska,31690,2024-03-22,Email,Standard,99.94
CUS000122,Carlos Juarez,F,24,Single,Self-Employed,71000.0,436,Port Roberto,Indiana,35322,2020-08-15,Email,Premium,42.75
CUS000123,Lisa Avila,M,56,Married,Employed,109000.0,572,Jessicaberg,Arizona,72263,2023-08-09,Phone,Standard,56.51
CUS000124,Jessica Merritt,M,54,Married,Employed,63000.0,663,Marymouth,Indiana,27575,2022-10-18,Phone,Basic,54.3
CUS000125,Joshua Rojas,M,50,Divorced,Self-Employed,84000.0,749,Gonzalezside,Iowa,14669,2024-04-25,Email,Basic,3.11
CUS000126,Kathryn Davidson,M,35,Divorced,Unemployed,134000.0,338,Harrisfort,Oregon,50639,2024-09-25,Email,Premium,9.77
CUS000127,Kelly Collins,F,74,Married,Employed,32000.0,676,West Monica,Vermont,88580,2023-07-06,Phone,Standard,42.71
CUS000128,Lisa Acosta,F,66,Single,Employed,97000.0,623,Jamesmouth,Oklahoma,30532,2021-03-15,Phone,Standard,28.45
CUS000129,Todd Lopez,M,32,Married,Self-Employed,151000.0,439,North Michaelton,Oklahoma,31457,2024-11-14,Mail,Basic,26.64
CUS000130,Michael Morris,M,73,Divorced,Self-Employed,74000.0,361,Marquezshire,Maine,91212,2020-05-28,Phone,Premium,99.13
CUS000131,Kenneth Rodriguez,F,80,Single,Unemployed,43000.0,665,Scottchester,South Dakota,81229,2024-09-24,Email,Premium,22.83
CUS000132,Shelby Hoffman,M,23,Divorced,Self-Employed,40000.0,820,North Margaretmouth,Wyoming,73572,2024-09-13,Mail,Basic,18.22
CUS000133,Jose Huber,F,79,Widowed,Retired,55000.0,419,New Paul,Maryland,12199,2022-06-14,Phone,Premium,89.6
CUS000134,Steven Andrews,M,73,Single,Employed,128000.0,494,Paulberg,Rhode Island,42499,2022-12-16,Mail,Basic,81.14
CUS000135,Paula Mcguire,M,28,Single,Employed,83000.0,337,Richardsonburgh,Wisconsin,28283,2024-02-10,Email,Basic,50.09
CUS000136,Sharon Ramirez,F,65,Married,Employed,34000.0,413,Josehaven,Arizona,88535,2024-05-30,Email,Standard,59.65
CUS000137,Alexis Wilson,F,57,Married,Employed,117000.0,588,Jacksonland,South Dakota,80530,2022-01-13,Mail,Basic,66.19
CUS000138,Jesse Copeland,M,65,Married,Unemployed,125000.0,644,East Catherinefort,Texas,86882,2020-08-15,Mail,Premium,70.2
CUS000139,Michael Bridges,M,62,Divorced,Employed,40000.0,834,East Amyside,Alabama,64886,2020-07-03,Email,Basic,23.63
CUS000140,Jeffrey Cook,F,19,Divorced,Employed,150000.0,594,South Kevin,Hawaii,61094,2022-06-17,Email,Premium,33.32
CUS000141,Joe Carlson,F,77,Single,Unemployed,71000.0,625,South Timothymouth,Alaska,98451,2022-03-30,Email,Premium,43.79
CUS000142,Holly Higgins,F,77,Single,Unemployed,122000.0,577,East Ashley,Alaska,48951,2023-12-16,Mail,Standard,7.72
CUS000143,Elizabeth Williams,M,29,Single,Employed,48000.0,321,North Jaredborough,Alabama,65840,2023-06-09,Phone,Premium,87.28
CUS000144,Lindsey Banks,M,53,Married,Employed,212000.0,759,Wilsonfort,Illinois,36162,2021-10-16,Email,Premium,33.04
CUS000145,Ronald Wright,M,75,Single,Employed,64000.0,584,Port Brookeland,New Hampshire,13745,2023-05-24,Mail,Premium,85.57
CUS000146,Michael Sanchez,M,46,Single,Unemployed,67000.0,383,Beckertown,Vermont,39178,2024-04-01,Phone,Standard,95.14
CUS000147,Christine Adams MD,F,38,Divorced,Retired,38000.0,383,North Benjaminview,Hawaii,15927,2021-07-09,Email,Standard,98.41
CUS000148,Stephen Coleman,F,55,Single,Employed,56000.0,823,Melissafort,Iowa,83969,2020-01-12,Phone,Standard,54.78
CUS000149,Richard Chambers,M,34,Single,Employed,39000.0,326,Jasonborough,Virginia,86215,2021-02-20,Mail,Basic,63.0
CUS000150,Brenda James,M,41,Divorced,Self-Employed,37000.0,826,Rodriguezville,Florida,90359,2021-10-13,Email,Premium,13.39
CUS000151,James Carlson,F,26,Single,Employed,88000.0,800,West Stephanie,Maine,60862,2023-10-14,Email,Basic,31.73
CUS000152,Janet Brown,F,38,Single,Employed,60000.0,665,Donaldmouth,Missouri,71662,2023-01-09,Mail,Basic,66.04
CUS000153,Michael Jackson,F,58,Single,Employed,101000.0,387,Melaniemouth,Florida,21081,2022-01-09,Email,Premium,57.52
CUS000154,Wesley Hernandez,F,37,Married,Unemployed,31000.0,541,South Richard,New Jersey,62661,2022-03-31,Email,Standard,9.7
CUS000155,Brittany Edwards,M,43,Married,Employed,52000.0,389,West Gregoryfort,Montana,63238,2021-05-28,Phone,Basic,20.81
CUS000156,Amanda Walker DDS,M,78,Married,Employed,39000.0,372,Aliciaside,Texas,84246,2021-02-03,Email,Standard,71.2
CUS000157,Adam Matthews,F,79,Married,Self-Employed,132000.0,682,Whitebury,Illinois,30362,2021-03-13,Email,Basic,55.21
CUS000158,Laura Ferguson,F,20,Single,Employed,115000.0,313,South Meganstad,South Dakota,68438,2022-11-26,Email,Premium,25.46
CUS000159,Joshua Nelson,M,36,Widowed,Employed,39000.0,608,South Sheilatown,South Dakota,39258,2022-02-01,Phone,Standard,55.98
CUS000160,Levi Diaz,F,54,Widowed,Student,94000.0,334,Ashleeport,Montana,85048,2023-02-05,Email,Standard,21.15
CUS000161,Jamie Ramsey,M,48,Married,Unemployed,122000.0,815,Port Brianland,Mississippi,51290,2021-06-10,Phone,Basic,50.98
CUS000162,Samuel Price,M,53,Single,Employed,69000.0,634,Lake Samantha,Mississippi,68003,2024-12-12,Mail,Standard,28.41
CUS000163,Robert Tran,F,29,Married,Employed,75000.0,320,North Bruce,Oklahoma,25810,2021-10-08,Phone,Premium,71.87
CUS000164,Amy Sanders,M,59,Single,Student,150000.0,674,Amyfort,Tennessee,28550,2020-10-09,Email,Premium,44.28
CUS000165,Philip Lara,M,31,Married,Employed,35000.0,429,Pittsfort,Massachusetts,20313,2022-08-25,Email,Standard,31.9
CUS000166,Sherry Henry,M,22,Married,Unemployed,55000.0,600,Staceyton,North Carolina,29760,2021-08-16,Email,Standard,88.49
CUS000167,Bernard Baxter,F,27,Married,Employed,59000.0,432,East Joseph,Ohio,59407,2022-05-20,Email,Standard,70.97
CUS000168,Gabriel Rodriguez,F,45,Single,Self-Employed,39000.0,503,East Sarahfurt,Maine,98493,2020-10-26,Email,Basic,80.76
CUS000169,Brian Hill,M,23,Single,Employed,74000.0,633,Brookschester,North Dakota,91995,2020-07-16,Email,Standard,93.72
CUS000170,Jennifer Morgan DVM,M,52,Married,Retired,32000.0,460,New Matthewview,Tennessee,72058,2020-07-13,Phone,Premium,15.69
CUS000171,Isabella Williams,F,60,Single,Employed,246000.0,484,Rogersville,Nevada,02367,2021-06-27,Phone,Standard,52.65
CUS000172,Joseph Thornton,F,40,Single,Employed,51000.0,635,Robertville,New Mexico,25547,2023-07-16,Mail,Basic,17.08
CUS000173,Virginia Carter,M,25,Single,Employed,40000.0,794,Lake Nicholas,Nebraska,84040,2020-04-23,Email,Standard,83.97
CUS000174,Kevin Wright,F,47,Married,Self-Employed,175000.0,602,South Joseph,Oregon,28804,2021-09-15,Phone,Premium,93.16
CUS000175,Anna Simmons,M,18,Single,Self-Employed,88000.0,352,Lake Karenbury,Connecticut,28472,2024-07-11,Phone,Standard,35.51
CUS000176,Diane Snyder,F,80,Widowed,Employed,39000.0,458,Kennethbury,Colorado,69174,2020-05-12,Phone,Basic,41.01
CUS000177,Melissa Henry,F,36,Divorced,Unemployed,50000.0,578,Lewisview,West Virginia,21627,2024-10-19,Email,Basic,12.9
CUS000178,Angela Carter,M,32,Married,Self-Employed,69000.0,442,Amandaside,Idaho,91928,2021-02-03,Phone,Standard,45.42
CUS000179,Andrea Chapman,M,52,Single,Employed,44000.0,302,Rileyhaven,Kentucky,74884,2020-01-19,Phone,Basic,84.87
CUS000180,James Moon,M,43,Single,Employed,153000.0,603,New Kevinchester,Colorado,19433,2023-06-18,Phone,Standard,61.18
CUS000181,Matthew Douglas,F,63,Married,Student,102000.0,320,Angelaport,Montana,09554,2022-04-22,Email,Premium,65.1
CUS000182,Scott Briggs,M,53,Divorced,Employed,144000.0,440,Seanshire,Tennessee,10476,2024-10-16,Email,Premium,49.1
CUS000183,Dustin Zuniga,F,44,Divorced,Employed,45000.0,443,New Samanthatown,Minnesota,50771,2024-03-25,Email,Basic,40.59
CUS000184,Ms. Erin Ritter DDS,F,24,Married,Employed,218000.0,458,Lake Mariah,Massachusetts,78134,2024-08-17,Phone,Premium,57.16
CUS000185,Larry Arias,F,24,Divorced,Employed,45000.0,661,Port Brianview,Rhode Island,25253,2022-01-11,Email,Premium,64.16
CUS000186,Kimberly Carr,F,26,Married,Self-Employed,66000.0,677,Randallchester,Colorado,07308,2022-07-21,Email,Basic,77.22
CUS000187,Kathryn Hall,M,54,Married,Self-Employed,71000.0,359,North Debrafurt,New Hampshire,43953,2021-01-23,Phone,Basic,76.9
CUS000188,Mrs. Megan Gamble MD,M,64,Single,Retired,38000.0,731,Lake Shannonbury,Vermont,29253,2023-07-30,Email,Standard,21.41
CUS000189,Matthew Jones,M,74,Married,Student,81000.0,562,Carlmouth,Oregon,19288,2022-10-22,Phone,Standard,43.39
CUS000190,Kyle Bryant,M,41,Single,Employed,93000.0,517,Weberland,Michigan,84725,2022-12-26,Email,Basic,77.49
CUS000191,Kurt Gonzalez,M,53,Single,Employed,45000.0,369,Benjaminton,Florida,11453,2023-05-08,Email,Premium,52.39
CUS000192,Joseph York,M,61,Single,Employed,34000.0,529,East Roger,Idaho,61863,2021-11-10,Phone,Standard,23.85
CUS000193,Christopher Miller,F,19,Widowed,Self-Employed,61000.0,508,Hectorbury,Tennessee,52868,2021-04-30,Mail,Standard,34.02
CUS000194,Robert Rios,F,53,Widowed,Self-Employed,73000.0,602,West Travis,Massachusetts,90773,2024-04-16,Email,Standard,10.57
CUS000195,Patricia Bowen,F,29,Married,Self-Employed,60000.0,814,East Sandra,New Hampshire,73856,2020-08-20,Mail,Standard,40.53
CUS000196,Patrick Morrison,M,82,Divorced,Employed,38000.0,705,Baileyview,Nevada,01356,2024-02-13,Email,Basic,13.64
CUS000197,Billy Petersen,F,31,Single,Employed,117000.0,660,Andreatown,West Virginia,09996,2021-04-21,Email,Basic,55.83
CUS000198,Steven Stevenson,F,79,Married,Self-Employed,48000.0,610,Zimmermanmouth,New Hampshire,43037,2020-03-19,Email,Basic,57.88
CUS000199,Jacqueline Hayes,F,29,Divorced,Employed,72000.0,728,Lake Ryan,Utah,18286,2022-02-21,Email,Basic,86.94
CUS000200,Lisa Sweeney,F,24,Married,Employed,112000.0,704,Larrymouth,Montana,95140,2020-09-30,Email,Premium,23.14
CUS000201,Sonya Wells,F,27,Divorced,Employed,188000.0,588,North Paul,Pennsylvania,80431,2022-09-28,Mail,Standard,61.02
CUS000202,Matthew Deleon,M,69,Married,Employed,102000.0,324,Jenniferborough,Maryland,43798,2020-07-04,Phone,Premium,48.35
CUS000203,Kimberly Perkins,M,62,Married,Student,65000.0,391,Lake Benjaminchester,Kansas,62915,2022-12-09,Email,Standard,44.51
